exception_id,source_report,execution_id,exception_type,severity,owner_queue,sla_hours,status,age_days,generated_at_utc,resolution_notes
EXC-00001,,EXEC-000060,FEE_MISMATCH,LOW,Fees / Commissions,48,OPEN,0,2026-01-15 17:00:00,
EXC-00002,,EXEC-000061,FEE_MISMATCH,LOW,Fees / Commissions,48,OPEN,0,2026-01-15 17:00:00,
EXC-00003,,EXEC-000062,FEE_MISMATCH,LOW,Fees / Commissions,48,OPEN,0,2026-01-15 17:00:00,
EXC-00004,,EXEC-000005,MISSING_BROKER_TRADE,HIGH,Broker Operations,4,OPEN,0,2026-01-15 17:00:00,
EXC-00005,,EXEC-000010,MISSING_BROKER_TRADE,HIGH,Broker Operations,4,OPEN,0,2026-01-15 17:00:00,
EXC-00006,,EXEC-000015,MISSING_BROKER_TRADE,HIGH,Broker Operations,4,OPEN,0,2026-01-15 17:00:00,
EXC-00007,,EXEC-BONLY-000001,MISSING_INTERNAL_BOOKING,HIGH,Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00008,,EXEC-BONLY-000002,MISSING_INTERNAL_BOOKING,HIGH,Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00009,,EXEC-BONLY-000003,MISSING_INTERNAL_BOOKING,HIGH,Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00010,,EXEC-000030,PRICE_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00011,,EXEC-000031,PRICE_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00012,,EXEC-000032,PRICE_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00013,,EXEC-000020,QUANTITY_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00014,,EXEC-000021,QUANTITY_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00015,,EXEC-000022,QUANTITY_MISMATCH,MEDIUM,Trade Support,24,OPEN,0,2026-01-15 17:00:00,
EXC-00016,,EXEC-000070,SETTLEMENT_DATE_MISMATCH,MEDIUM,Settlements,24,OPEN,0,2026-01-15 17:00:00,
EXC-00017,,EXEC-000071,SETTLEMENT_DATE_MISMATCH,MEDIUM,Settlements,24,OPEN,0,2026-01-15 17:00:00,
EXC-00018,,EXEC-000040,SIDE_MISMATCH,HIGH,Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00019,,EXEC-000041,SIDE_MISMATCH,HIGH,Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00020,,EXEC-000050,SYMBOL_MISMATCH,HIGH,Security Master / Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00021,,EXEC-000051,SYMBOL_MISMATCH,HIGH,Security Master / Trade Support,4,OPEN,0,2026-01-15 17:00:00,
EXC-00022,,EXEC-000091,DUPLICATE_BROKER_TRADE,MEDIUM,Broker Operations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00023,,EXEC-000090,DUPLICATE_INTERNAL_TRADE,MEDIUM,Data Operations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00024,,EXEC-000005,ALLOCATION_ACCOUNT_MISSING_AT_BROKER,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00025,,EXEC-000010,ALLOCATION_ACCOUNT_MISSING_AT_BROKER,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00026,,EXEC-000015,ALLOCATION_ACCOUNT_MISSING_AT_BROKER,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00027,,EXEC-000080,ALLOCATION_ACCOUNT_MISSING_AT_BROKER,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00028,,EXEC-000081,ALLOCATION_ACCOUNT_MISSING_AT_BROKER,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00029,,EXEC-000080,ALLOCATION_ACCOUNT_MISSING_INTERNALLY,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00030,,EXEC-000081,ALLOCATION_ACCOUNT_MISSING_INTERNALLY,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00031,,EXEC-BONLY-000001,ALLOCATION_ACCOUNT_MISSING_INTERNALLY,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00032,,EXEC-BONLY-000002,ALLOCATION_ACCOUNT_MISSING_INTERNALLY,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
EXC-00033,,EXEC-BONLY-000003,ALLOCATION_ACCOUNT_MISSING_INTERNALLY,MEDIUM,Allocations,24,OPEN,0,2026-01-15 17:00:00,
